Time,Side,Sub-wallet,Type,Asset,Average,Filled,Fees,Realized Profit
 , , , ,, ,, , 
2024-01-0900:38:30,Sell,USDT Wallet,Market,AR,8.538,13.9,0.08 ,3.18 
2024-01-0900:38:30,Sell,USDT Wallet,Market,AR,8.539,85.3,0.44 ,19.62 
2024-01-0900:38:30,Sell,USDT Wallet,Market,AR,8.538,13.9,0.08 ,3.18 
2024-01-0900:38:30,Sell,USDT Wallet,Market,AR,8.539,85.3,0.44 ,19.62 
2024-02-0922:53:09,Buy,USDT Wallet,Limit,RUNE,5.289,70.0,0.23 ,0.00 
2024-02-0913:38:27,Buy,USDT Wallet,Market,APT,9.081,220.2,1.20 ,0.00 
2024-02-0913:35:05,Buy,USDT Wallet,Market,DYDX,2.923,342.1,0.60 ,0.00 
2024-02-0910:50:48,Sell,USDT Wallet,Market,RUNE,5.369,306.0,0.99 ,198.48 
2024-02-0908:13:32,Sell,USDT Wallet,Market,ETH,2519.02,1.0,1.52 ,133.13 
2024-02-0822:03:15,Buy,USDT Wallet,Market,RUNE,4.908,81.0,0.24 ,0.00 
2024-02-0809:47:13,Buy,USDT Wallet,Market,RUNE,4.703,106.0,0.30 ,0.00 
2024-02-0809:44:55,Buy,USDT Wallet,Market,RUNE,4.689,426.0,1.20 ,0.00 
2024-02-0718:05:04,Sell,USDT Wallet,Market,FIL,5.183,74.2,0.23 ,-12.75 
2024-02-0712:19:04,Buy,USDT Wallet,Market,SEI,0.6034,767.0,0.28 ,0.00 
2024-02-0712:19:04,Buy,USDT Wallet,Market,SEI,0.6029,62.0,0.03 ,0.00 
2024-02-0712:18:34,Buy,USDT Wallet,Market,AR,8.141,50.1,0.25 ,0.00 
2024-02-0712:18:34,Buy,USDT Wallet,Market,AR,8.138,25.6,0.13 ,0.00 
